project_id,asset_class,database,sector_code,country,region,invest_usd,tier,supplying_sector,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,Energy_TJ,NOx_t
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,1,Manufacturing,2.982,1501.21,31.91,6.66298,1.25244,12.88224,5.18868
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,1,Transport_Logistics,1.2875,288.49,17.34,1.05307,0.7725,3.65006,5.22725
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,1,Health_Social,1.219,227.797,31.636,1.64949,0.8533,1.48109,0.70702
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,1,Agriculture,0.5315,87.506,17.306,4.25333,0.40394,2.00907,0.69361
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,1,Mining_Extraction,2.64925,1134.812,24.805,6.95841,1.48358,16.09419,5.37798
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,1,Water_Waste,0.68275,105.594,11.65,7.95813,0.4711,1.10606,0.49499
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,2,Construction,0.46385,138.579,9.234,0.55791,0.22265,1.12715,0.53806
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,2,Energy_Utilities,0.86043,273.342,5.539,1.61847,0.55068,9.87345,1.87144
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,2,Manufacturing,1.44138,725.627,15.424,3.22063,0.60538,6.22678,2.50801
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,2,Transport_Logistics,0.62738,140.577,8.45,0.51315,0.37643,1.77863,2.54717
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,2,Health_Social,0.50698,94.74,13.157,0.68602,0.35489,0.61598,0.29405
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,2,Agriculture,0.26549,43.711,8.644,2.12461,0.20177,1.00356,0.34647
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,2,Mining_Extraction,1.20467,516.021,11.28,3.16413,0.67461,7.31835,2.44547
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,2,Water_Waste,0.34005,52.592,5.803,3.9636,0.23463,0.55088,0.24653
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,3,Construction,0.21826,65.207,4.345,0.26252,0.10476,0.53037,0.25318
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,3,Energy_Utilities,0.40312,128.062,2.595,0.75826,0.25799,4.62576,0.87678
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,3,Manufacturing,0.66472,334.634,7.113,1.48524,0.27918,2.87158,1.15661
