project_id,asset_class,database,sector_code,country,region,invest_usd,supplying_sector,sourcing_country,trade_share,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,Energy_TJ,NOx_t,model_label,scenario,year,adj_ratio_ghg,adj_ratio_employment,adj_ratio_water,adj_ratio_va,GHG_adj_tCO2e,Employment_adj_FTE,Water_adj_1000m3,ValueAdded_adj_M$,tier_label,tier,sourcing_region,sourcing_share,tier_range
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Energy_Utilities,LATAM,1.0,20.0,4280.32,102.66,30.78,12.8,195.5,39.0,OSeMOSYS,SSP4-6.0,2030.0,0.7622,1.1369,0.6081643492139134,1.1369,3262.459904,116.714154,18.719298668804253,14.552320000000002,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Energy_Utilities,LATAM,1.0,20.0,4280.32,102.66,30.78,12.8,195.5,39.0,OSeMOSYS,SSP4-6.0,2040.0,0.3839,1.2041,0.3475652718022418,1.2041,1643.214848,123.612906,10.698059066073002,15.41248,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Energy_Utilities,LATAM,1.0,20.0,4280.32,102.66,30.78,12.8,195.5,39.0,OSeMOSYS,SSP5-8.5,2025.0,1.1417,1.0569,0.882895197634791,1.0569,4886.8413439999995,108.50135399999999,27.175514183198867,13.52832,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Energy_Utilities,LATAM,1.0,20.0,4280.32,102.66,30.78,12.8,195.5,39.0,OSeMOSYS,SSP5-8.5,2030.0,0.7717,1.1264,0.6239839506863696,1.1264,3303.122944,115.636224,19.206226002126456,14.417920000000002,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Energy_Utilities,LATAM,1.0,20.0,4280.32,102.66,30.78,12.8,195.5,39.0,OSeMOSYS,SSP5-8.5,2040.0,0.3357,1.2095,0.31775795947446916,1.2095,1436.9034239999999,124.16727,9.780589992624162,15.4816,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Manufacturing,LATAM,1.0,62.5,26904.0,536.8,117.6,26.25,230.0,97.5,OSeMOSYS,SSP1-1.9,2025.0,0.7833,1.1471,0.6078663855501878,1.1471,21073.9032,615.76328,71.48508694070208,30.111375,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Manufacturing,LATAM,1.0,62.5,26904.0,536.8,117.6,26.25,230.0,97.5,OSeMOSYS,SSP1-1.9,2030.0,0.5659,1.184,0.45992613971530133,1.184,15224.9736,635.5711999999999,54.08731403051944,31.08,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Manufacturing,LATAM,1.0,62.5,26904.0,536.8,117.6,26.25,230.0,97.5,OSeMOSYS,SSP1-1.9,2040.0,0.1132,1.2534,0.15988286611186275,1.2534,3045.5328,672.82512,18.80222505475506,32.90175,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Manufacturing,LATAM,1.0,62.5,26904.0,536.8,117.6,26.25,230.0,97.5,OSeMOSYS,SSP2-4.5,2025.0,1.0254,1.088,0.7917047314628838,1.088,27587.361600000004,584.0384,93.10447642003513,28.560000000000002,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Manufacturing,LATAM,1.0,62.5,26904.0,536.8,117.6,26.25,230.0,97.5,OSeMOSYS,SSP2-4.5,2030.0,0.7518,1.137,0.6028953194657325,1.137,20226.427200000002,610.3416,70.90048956917013,29.84625,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Manufacturing,LATAM,1.0,62.5,26904.0,536.8,117.6,26.25,230.0,97.5,OSeMOSYS,SSP2-4.5,2040.0,0.3665,1.2065,0.3364264164875368,1.2065,9860.315999999999,647.6492,39.56374657893433,31.670624999999998,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Manufacturing,LATAM,1.0,62.5,26904.0,536.8,117.6,26.25,230.0,97.5,OSeMOSYS,SSP3-7.0,2025.0,1.1159,1.065,0.8613688492124596,1.065,30022.1736,571.6919999999999,101.29697666738524,27.956249999999997,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Manufacturing,LATAM,1.0,62.5,26904.0,536.8,117.6,26.25,230.0,97.5,OSeMOSYS,SSP3-7.0,2030.0,0.7887,1.1253,0.6336921957863778,1.1253,21219.1848,604.0610399999999,74.52220222447802,29.539125,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Manufacturing,LATAM,1.0,62.5,26904.0,536.8,117.6,26.25,230.0,97.5,OSeMOSYS,SSP3-7.0,2040.0,0.3704,1.2033,0.34165561282255663,1.2033,9965.2416,645.93144,40.17870006793266,31.586625,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Manufacturing,LATAM,1.0,62.5,26904.0,536.8,117.6,26.25,230.0,97.5,OSeMOSYS,SSP4-6.0,2025.0,1.0162,1.092,0.7828295814147193,1.092,27339.8448,586.1856,92.06075877437098,28.665000000000003,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Manufacturing,LATAM,1.0,62.5,26904.0,536.8,117.6,26.25,230.0,97.5,OSeMOSYS,SSP4-6.0,2030.0,0.7622,1.1369,0.6081643492139134,1.1369,20506.2288,610.28792,71.52012746755621,29.843625,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Manufacturing,LATAM,1.0,62.5,26904.0,536.8,117.6,26.25,230.0,97.5,OSeMOSYS,SSP4-6.0,2040.0,0.3839,1.2041,0.3475652718022418,1.2041,10328.445600000001,646.36088,40.87367596394363,31.607625,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Manufacturing,LATAM,1.0,62.5,26904.0,536.8,117.6,26.25,230.0,97.5,OSeMOSYS,SSP5-8.5,2025.0,1.1417,1.0569,0.882895197634791,1.0569,30716.2968,567.3439199999999,103.82847524185141,27.743624999999998,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Manufacturing,LATAM,1.0,62.5,26904.0,536.8,117.6,26.25,230.0,97.5,OSeMOSYS,SSP5-8.5,2030.0,0.7717,1.1264,0.6239839506863696,1.1264,20761.8168,604.65152,73.38051260071705,29.568,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Manufacturing,LATAM,1.0,62.5,26904.0,536.8,117.6,26.25,230.0,97.5,OSeMOSYS,SSP5-8.5,2040.0,0.3357,1.2095,0.31775795947446916,1.2095,9031.6728,649.2596,37.36833603419757,31.749375,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Transport_Logistics,LATAM,1.0,17.5,3505.337,187.915,12.2976,10.5,42.2625,63.7,OSeMOSYS,SSP1-1.9,2025.0,0.7833,1.1471,0.6078663855501878,1.1471,2745.7304721,215.55729649999998,7.475297662941989,12.044550000000001,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Transport_Logistics,LATAM,1.0,17.5,3505.337,187.915,12.2976,10.5,42.2625,63.7,OSeMOSYS,SSP1-1.9,2030.0,0.5659,1.184,0.45992613971530133,1.184,1983.6702082999998,222.49136,5.65598769576289,12.431999999999999,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Transport_Logistics,LATAM,1.0,17.5,3505.337,187.915,12.2976,10.5,42.2625,63.7,OSeMOSYS,SSP1-1.9,2040.0,0.1132,1.2534,0.15988286611186275,1.2534,396.8041484,235.532661,1.9661755342972433,13.1607,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Transport_Logistics,LATAM,1.0,17.5,3505.337,187.915,12.2976,10.5,42.2625,63.7,OSeMOSYS,SSP2-4.5,2025.0,1.0254,1.088,0.7917047314628838,1.088,3594.3725598,204.45152000000002,9.736068105637958,11.424000000000001,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Transport_Logistics,LATAM,1.0,17.5,3505.337,187.915,12.2976,10.5,42.2625,63.7,OSeMOSYS,SSP2-4.5,2030.0,0.7518,1.137,0.6028953194657325,1.137,2635.3123566,213.659355,7.414165480661792,11.9385,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Transport_Logistics,LATAM,1.0,17.5,3505.337,187.915,12.2976,10.5,42.2625,63.7,OSeMOSYS,SSP2-4.5,2040.0,0.3665,1.2065,0.3364264164875368,1.2065,1284.7060105,226.71944749999997,4.137237499397132,12.668249999999999,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Transport_Logistics,LATAM,1.0,17.5,3505.337,187.915,12.2976,10.5,42.2625,63.7,OSeMOSYS,SSP3-7.0,2025.0,1.1159,1.065,0.8613688492124596,1.065,3911.6055582999998,200.12947499999999,10.592769560075142,11.1825,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Transport_Logistics,LATAM,1.0,17.5,3505.337,187.915,12.2976,10.5,42.2625,63.7,OSeMOSYS,SSP3-7.0,2030.0,0.7887,1.1253,0.6336921957863778,1.1253,2764.6592919,211.4607495,7.792893146902559,11.81565,tier0,,,,
