model,scenario,year,project_id,asset_class,region,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,GHG_adj_tCO2e,Employment_adj_FTE,Water_adj_1000m3,ValueAdded_adj_M$
OSeMOSYS,SSP2-4.5,2030.0,Rail_EU_OP1,Transport,Europe,42.063,1.613,0.35166,0.14271,27.8012833,1.7920111,0.20653774471325154,0.158677031
OSeMOSYS,SSP2-4.5,2030.0,Rail_EU_OP2,Transport,Europe,29.118000000000002,1.116,0.2435,0.09870000000000001,19.245358,1.2399047,0.14301192557709566,0.109742751
OSeMOSYS,SSP2-4.5,2040.0,Hydro_AF,Energy,Africa,19810.043999999998,777.231,127.29241,30.66147,4055.7110717,927.1337959,34.559466133276906,36.571996558
OSeMOSYS,SSP2-4.5,2040.0,Hydro_AS,Energy,Asia,94348.175,3587.415,621.3964,154.10061,20030.7005448,4277.9690673,186.8325155714142,183.75235755499997
OSeMOSYS,SSP2-4.5,2040.0,Hydro_EU,Energy,Europe,792.937,27.285999999999998,5.07133,2.05574,278.4938857,32.3338633,1.789191318525867,2.43544524
OSeMOSYS,SSP2-4.5,2040.0,Proj_001,Health,LATAM,127310.303,5524.17,999.20328,256.50715,45675.834116,6660.4313078,334.5627034245907,309.219944271
OSeMOSYS,SSP2-4.5,2040.0,Proj_002,Health,Africa,15485.008,662.222,111.93954,25.53141,3168.2298824,789.9445901,30.35818968129098,30.453210694000003
OSeMOSYS,SSP2-4.5,2040.0,Proj_003,Health,Europe,25807.022,1040.627,204.46526,76.94068,9062.3917618,1233.0676174,72.26482443870222,91.148637556
OSeMOSYS,SSP2-4.5,2040.0,Rail_EU_DEV,Transport,Europe,762641.142,27028.731,5179.53173,2050.32969,267832.2701106,32028.6065933,1828.520947408646,2429.0087896289997
OSeMOSYS,SSP2-4.5,2040.0,Rail_EU_OP1,Transport,Europe,42.063,1.613,0.35166,0.14271,14.7609025,1.9113525,0.12426887992615272,0.169057729
OSeMOSYS,SSP2-4.5,2040.0,Rail_EU_OP2,Transport,Europe,29.118000000000002,1.116,0.2435,0.09870000000000001,10.2181074,1.3224551999999998,0.08604680474696835,0.116922504
OSeMOSYS,SSP3-7.0,2025.0,Hydro_AF,Energy,Africa,19810.043999999998,777.231,127.29241,30.66147,15328.651594,764.73009,99.13958420166796,30.18913666
OSeMOSYS,SSP3-7.0,2025.0,Hydro_AS,Energy,Asia,94348.175,3587.415,621.3964,154.10061,69749.45830940001,3435.01114,516.7978104590901,147.70743882
OSeMOSYS,SSP3-7.0,2025.0,Hydro_EU,Energy,Europe,792.937,27.285999999999998,5.07133,2.05574,715.7038517999999,28.027593,4.047424394173347,2.11556605
OSeMOSYS,SSP3-7.0,2025.0,Proj_001,Health,LATAM,127310.303,5524.17,999.20328,256.50715,139379.28218319998,5857.111064999999,858.2096419468467,271.92708877999996
OSeMOSYS,SSP3-7.0,2025.0,Proj_002,Health,Africa,15485.008,662.222,111.93954,25.53141,11980.535013600002,651.5742319999999,87.14628309158317,25.13729085
OSeMOSYS,SSP3-7.0,2025.0,Proj_003,Health,Europe,25807.022,1040.627,204.46526,76.94068,23291.854495699998,1069.364683,163.10094122105812,79.19913347
OSeMOSYS,SSP3-7.0,2025.0,Rail_EU_DEV,Transport,Europe,762641.142,27028.731,5179.53173,2050.32969,688337.4521979,27765.978931,4133.03678395301,2110.15305214
OSeMOSYS,SSP3-7.0,2025.0,Rail_EU_OP1,Transport,Europe,42.063,1.613,0.35166,0.14271,37.953855399999995,1.6569500000000001,0.2805309759297858,0.14693106
