model,scenario,year,project_id,asset_class,region,base_dep_factor_GHG_tCO2e,base_dep_factor_Employment_FTE,base_dep_factor_Water_1000m3,base_dep_factor_ValueAdded_M$,GHG_dep_tCO2e,Employment_dep_FTE,Water_dep_1000m3,ValueAdded_dep_M$
OSeMOSYS,SSP1-1.9,2040.0,Proj_002,Health,Africa,78.79653333333333,78.79653333333333,111.18008888888889,108.13057777777777,356.7552751950067,843.0778609293,16.56289793848183,39.74892777609611
OSeMOSYS,SSP1-1.9,2040.0,Proj_003,Health,Europe,78.3056,78.3056,97.68315555555557,105.44817777777777,2011.6934869538234,1341.3868784596,37.85825052742943,117.03975159546889
OSeMOSYS,SSP1-1.9,2040.0,Rail_EU_DEV,Transport,Europe,70.97226666666667,97.86115555555557,87.90537777777779,90.78151111111112,56351.26047491384,39433.86270476498,903.0507666289916,2890.5314843444953
OSeMOSYS,SSP1-1.9,2040.0,Rail_EU_OP1,Transport,Europe,70.97226666666667,97.86115555555557,87.90537777777779,90.78151111111112,3.2153209493033335,2.311598872977778,0.06270282382624388,0.20446255677311112
OSeMOSYS,SSP1-1.9,2040.0,Rail_EU_OP2,Transport,Europe,70.97226666666667,97.86115555555557,87.90537777777779,90.78151111111112,2.22561109775,1.5984635503666669,0.04341647230790895,0.141404436381
OSeMOSYS,SSP2-4.5,2025.0,Hydro_AF,Energy,Africa,86.12986666666667,88.57431111111111,135.62453333333335,117.90835555555554,15496.672961439192,884.9926144163555,139.84148631789637,40.37693887067022
OSeMOSYS,SSP2-4.5,2025.0,Hydro_AS,Energy,Asia,87.99653333333333,90.44097777777777,141.1452,123.18168888888889,79078.24002754997,4021.409151009955,773.7812080090052,203.7086569508302
OSeMOSYS,SSP2-4.5,2025.0,Hydro_EU,Energy,Europe,85.63893333333334,88.08337777777778,122.1276,115.22595555555556,680.0678748265334,32.26737217395556,5.182729623950273,2.7753190018311114
OSeMOSYS,SSP2-4.5,2025.0,Proj_001,Health,LATAM,79.72986666666668,79.72986666666668,105.66875555555555,106.03991111111111,129174.11746214486,6148.346841963734,1068.6749471100902,338.68553175006576
OSeMOSYS,SSP2-4.5,2025.0,Proj_002,Health,Africa,78.79653333333333,78.79653333333333,111.18008888888889,108.13057777777777,11670.971663302244,683.9401394781333,113.33998856814097,32.26494008783288
OSeMOSYS,SSP2-4.5,2025.0,Proj_003,Health,Europe,78.3056,78.3056,97.68315555555557,105.44817777777777,21461.11977099551,1142.1795955389334,191.38725333851062,99.86458664096
OSeMOSYS,SSP2-4.5,2025.0,Rail_EU_DEV,Transport,Europe,70.97226666666667,97.86115555555557,87.90537777777779,90.78151111111112,601294.6328366065,33567.40432424587,4581.631926719404,2465.7133937468307
OSeMOSYS,SSP2-4.5,2025.0,Rail_EU_OP1,Transport,Europe,70.97226666666667,97.86115555555557,87.90537777777779,90.78151111111112,34.30650848244667,1.9674520760888892,0.31714505238315177,0.17451158188088892
OSeMOSYS,SSP2-4.5,2025.0,Rail_EU_OP2,Transport,Europe,70.97226666666667,97.86115555555557,87.90537777777779,90.78151111111112,23.74724565225,1.360554740977778,0.2195970419412665,0.12068972104533335
OSeMOSYS,SSP2-4.5,2030.0,Hydro_AF,Energy,Africa,86.12986666666667,88.57431111111111,135.62453333333335,117.90835555555554,10389.438784507332,950.4424911523366,100.50676368886668,43.344002676090774
OSeMOSYS,SSP2-4.5,2030.0,Hydro_AS,Energy,Asia,87.99653333333333,90.44097777777777,141.1452,123.18168888888889,53167.34584142108,4380.546597791476,567.6596402090685,221.7679447315111
OSeMOSYS,SSP2-4.5,2030.0,Hydro_EU,Energy,Europe,85.63893333333334,88.08337777777778,122.1276,115.22595555555556,532.5722801637501,33.60582359021556,4.190475234849755,2.8870097270404167
OSeMOSYS,SSP2-4.5,2030.0,Proj_001,Health,LATAM,79.72986666666668,79.72986666666668,105.66875555555555,106.03991111111111,94478.04991179043,6435.296311333877,812.8235235625199,354.46507386400305
OSeMOSYS,SSP2-4.5,2030.0,Proj_002,Health,Africa,78.79653333333333,78.79653333333333,111.18008888888889,108.13057777777777,7823.49694298525,734.5213202439365,81.42935939655794,34.63671763639487
OSeMOSYS,SSP2-4.5,2030.0,Proj_003,Health,Europe,78.3056,78.3056,97.68315555555557,105.44817777777777,16806.13854281317,1189.2698528858566,154.96269578343743,103.86443511649544
OSeMOSYS,SSP2-4.5,2030.0,Rail_EU_DEV,Transport,Europe,70.97226666666667,97.86115555555557,87.90537777777779,90.78151111111112,470852.98840484815,34957.17822682131,3705.7811318534586,2564.83948313475
OSeMOSYS,SSP2-4.5,2030.0,Rail_EU_OP1,Transport,Europe,70.97226666666667,97.86115555555557,87.90537777777779,90.78151111111112,26.86471284741667,2.0490344831411114,0.25674851516653274,0.18147084840699446
OSeMOSYS,SSP2-4.5,2030.0,Rail_EU_OP2,Transport,Europe,70.97226666666667,97.86115555555557,87.90537777777779,90.78151111111112,18.59587265916667,1.4169694416522223,0.17777662405965064,0.1255031178233
OSeMOSYS,SSP2-4.5,2040.0,Hydro_AF,Energy,Africa,86.12986666666667,88.57431111111111,135.62453333333335,117.90835555555554,4185.894415554439,1031.3093717415188,52.164144372070844,47.023170868292326
OSeMOSYS,SSP2-4.5,2040.0,Hydro_AS,Energy,Asia,87.99653333333333,90.44097777777777,141.1452,123.18168888888889,20955.29024456074,4827.001570877923,290.78860040735674,244.26587457868567
OSeMOSYS,SSP2-4.5,2040.0,Hydro_EU,Energy,Europe,85.63893333333334,88.08337777777778,122.1276,115.22595555555556,282.74664993218335,35.84657783346222,2.513334892880555,3.0768807582699997
OSeMOSYS,SSP2-4.5,2040.0,Proj_001,Health,LATAM,79.72986666666668,79.72986666666668,105.66875555555555,106.03991111111111,45798.55049234512,6839.296491476106,452.2023952350609,376.72276935014264
OSeMOSYS,SSP2-4.5,2040.0,Proj_002,Health,Africa,78.79653333333333,78.79653333333333,111.18008888888889,108.13057777777777,3151.249722686005,797.0144003121134,42.25091260607593,37.57660123307737
OSeMOSYS,SSP2-4.5,2040.0,Proj_003,Health,Europe,78.3056,78.3056,97.68315555555557,105.44817777777777,8922.163759868556,1268.3474763197432,93.12154274397918,110.68075096949863
OSeMOSYS,SSP2-4.5,2040.0,Rail_EU_DEV,Transport,Europe,70.97226666666667,97.86115555555557,87.90537777777779,90.78151111111112,249954.4006165595,37286.02803158359,2223.7115462143315,2733.4433702830456
OSeMOSYS,SSP2-4.5,2040.0,Rail_EU_OP1,Transport,Europe,70.97226666666667,97.86115555555557,87.90537777777779,90.78151111111112,14.26162616529,2.1856495051700002,0.15425624874784225,0.19335704790000555
OSeMOSYS,SSP2-4.5,2040.0,Rail_EU_OP2,Transport,Europe,70.97226666666667,97.86115555555557,87.90537777777779,90.78151111111112,9.871875941958335,1.51141505502,0.10680906038805683,0.13372390275495
OSeMOSYS,SSP3-7.0,2025.0,Hydro_AF,Energy,Africa,86.12986666666667,88.57431111111111,135.62453333333335,117.90835555555554,15821.70747345476,850.6429700131333,149.66813251033136,38.813378518144106
OSeMOSYS,SSP3-7.0,2025.0,Hydro_AS,Energy,Asia,87.99653333333333,90.44097777777777,141.1452,123.18168888888889,72983.05239745203,3875.749617585289,804.5924377192272,196.33159458837966
