Manufacturing Country,SASB industry,Variable,Unit,direct,upstream tier 1,upstream tier 2,upstream rest,Total
JPN,Services,Air Emission,EUR Impact per EUR Output,-0.0009516849694364761,-0.005657268611535192,-0.0065330693798047465,-0.009867892276845161,-0.02300991523762157
JPN,Technology & Communications,Air Emission,EUR Impact per EUR Output,-0.00037819941130827527,-0.005867850968524136,-0.007109833231818662,-0.016164192937623532,-0.029520076549274604
JPN,Transportation,Air Emission,EUR Impact per EUR Output,-0.09999294478767637,-0.04405504891777717,-0.02292385414725401,-0.030575480687180814,-0.19754732853988838
KOR,Consumer Goods,Air Emission,EUR Impact per EUR Output,-0.0025429104235807996,-0.007621245385563323,-0.00858155111682067,-0.019957327317705983,-0.038703034243670775
KOR,Extractives & Minerals Processing,Air Emission,EUR Impact per EUR Output,-0.05877889676485504,-0.05590019527263611,-0.025273902428143633,-0.03048275713564325,-0.17043575160127802
KOR,Financials,Air Emission,EUR Impact per EUR Output,-0.0002967643902364554,-0.002888544247779505,-0.0036644297107757177,-0.010500585685968854,-0.01735032403476053
KOR,Food & Beverage,Air Emission,EUR Impact per EUR Output,-0.0661070349149098,-0.04786583277234608,-0.02364414763999008,-0.0319016172116583,-0.16951863253890423
KOR,Health Care,Air Emission,EUR Impact per EUR Output,-0.00527880017630026,-0.011084365950563294,-0.010602916629093278,-0.02268202239423444,-0.049648105150191274
KOR,Infrastructure,Air Emission,EUR Impact per EUR Output,-0.027219107978567986,-0.030238777622159402,-0.014973268878371382,-0.022346705235978252,-0.09477785971507702
KOR,Renewable Resources & Alternative Energy,Air Emission,EUR Impact per EUR Output,-0.017403237513246256,-0.024002140915284024,-0.015223145331398947,-0.029713630187271113,-0.08634215394720034
KOR,Resource Transformation,Air Emission,EUR Impact per EUR Output,-0.005726349788890077,-0.020480513345955555,-0.02202183079973138,-0.0392826697449199,-0.08751136367949691
KOR,Services,Air Emission,EUR Impact per EUR Output,-0.006398119739585726,-0.008138041996632709,-0.01002232704740435,-0.016264981068353987,-0.04082346985197677
KOR,Technology & Communications,Air Emission,EUR Impact per EUR Output,-0.0007210927759747226,-0.012678044661596638,-0.012221754591924774,-0.03155514675278986,-0.05717603878228599
KOR,Transportation,Air Emission,EUR Impact per EUR Output,-0.04319635774728418,-0.014023748226950199,-0.016396734071979415,-0.03327226087177215,-0.10688910091798594
MEX,Consumer Goods,Air Emission,EUR Impact per EUR Output,-0.002182115712609459,-0.005711427271683504,-0.003305198018752665,-0.004708285840665657,-0.015907026843711286
MEX,Extractives & Minerals Processing,Air Emission,EUR Impact per EUR Output,-0.05403055052269519,-0.012667670517466806,-0.005674686337398697,-0.006884807167652865,-0.07925771454521355
MEX,Financials,Air Emission,EUR Impact per EUR Output,-0.0003036361146280981,-0.0014087238755365254,-0.0012649145295731711,-0.002776038514385741,-0.005753313034123536
MEX,Food & Beverage,Air Emission,EUR Impact per EUR Output,-0.07084870421111096,-0.044604911080393474,-0.014109089220303263,-0.010444484724542768,-0.14000718923635047
MEX,Health Care,Air Emission,EUR Impact per EUR Output,-0.004471536136449298,-0.0049261767321472,-0.003389194155362929,-0.004817041161915024,-0.017603948185874452
MEX,Infrastructure,Air Emission,EUR Impact per EUR Output,-0.03957948933396008,-0.02365655160396328,-0.007711048615736226,-0.008409131469795295,-0.07935622102345487
MEX,Renewable Resources & Alternative Energy,Air Emission,EUR Impact per EUR Output,-0.014712599777289425,-0.013030673884387913,-0.007741344159713779,-0.011115821478426685,-0.0466004392998178
MEX,Resource Transformation,Air Emission,EUR Impact per EUR Output,-0.009770807396005221,-0.0198362882373591,-0.0105082707341311,-0.01517305247005589,-0.055288418837551305
MEX,Services,Air Emission,EUR Impact per EUR Output,-0.0003853932093408174,-0.0024717356637864955,-0.001414377920100534,-0.0018493818437018126,-0.006120888636929659
MEX,Technology & Communications,Air Emission,EUR Impact per EUR Output,-0.0009426159604360263,-0.005891793691945321,-0.009798655305283711,-0.022003112598452983,-0.03863617755611805
MEX,Transportation,Air Emission,EUR Impact per EUR Output,-0.006004167574352334,-0.007522912312863338,-0.006896916498405011,-0.0130977140923281,-0.03352171047794879
NLD,Consumer Goods,Air Emission,EUR Impact per EUR Output,-0.001171695856948299,-0.003924665943540933,-0.003850684540369827,-0.008064678619243001,-0.01701172496010206
NLD,Extractives & Minerals Processing,Air Emission,EUR Impact per EUR Output,-0.004669588675450478,-0.009550681000440446,-0.012152246564510538,-0.01603204826074706,-0.042404564501148524
NLD,Financials,Air Emission,EUR Impact per EUR Output,-0.00019310192980601522,-0.0005549927930272374,-0.0011082432130203007,-0.0039414747350466905,-0.0057978126709002445
NLD,Food & Beverage,Air Emission,EUR Impact per EUR Output,-0.04478797050678073,-0.06970790893804918,-0.03537188516264214,-0.03501930082869736,-0.18488706543616942
NLD,Health Care,Air Emission,EUR Impact per EUR Output,-0.00025306739801409114,-0.00278197987583877,-0.004506164595776614,-0.006856004715662495,-0.014397216585291969
NLD,Infrastructure,Air Emission,EUR Impact per EUR Output,-0.003987138037520478,-0.005417202530723827,-0.005793990489875086,-0.011304780880831313,-0.026503111938950708
NLD,Renewable Resources & Alternative Energy,Air Emission,EUR Impact per EUR Output,-0.006174309911066028,-0.014311150007282633,-0.010734735697251023,-0.01835862603886489,-0.049578821654464575
NLD,Resource Transformation,Air Emission,EUR Impact per EUR Output,-0.0037070855632276144,-0.014714378087717136,-0.013642517051491887,-0.021651769443623504,-0.05371575014606014
NLD,Services,Air Emission,EUR Impact per EUR Output,-0.0007305098578014244,-0.0027519848825355076,-0.004492199513831807,-0.008231401260131128,-0.016206095514299867
NLD,Technology & Communications,Air Emission,EUR Impact per EUR Output,-0.00012927760108128733,-0.003003823680211278,-0.007981803727294914,-0.017013819125731945,-0.028128724134319428
NLD,Transportation,Air Emission,EUR Impact per EUR Output,-0.0449333326268913,-0.011646308165857456,-0.007411650913751993,-0.012722956121864273,-0.07671424782836503
RUS,Consumer Goods,Air Emission,EUR Impact per EUR Output,-0.001208504036938753,-0.008658980357221745,-0.005758863245129363,-0.007913219485337785,-0.023539567124627646
RUS,Extractives & Minerals Processing,Air Emission,EUR Impact per EUR Output,-0.03366729214640818,-0.019271013730689,-0.008430220987621152,-0.010618284026568383,-0.07198681089128671
RUS,Financials,Air Emission,EUR Impact per EUR Output,-0.0002475580054206748,-0.0060535503268650355,-0.004554679164128227,-0.006005023849491623,-0.01686081134590556
RUS,Food & Beverage,Air Emission,EUR Impact per EUR Output,-0.12964200039194188,-0.04582435724452076,-0.016469439728279266,-0.014765693230012027,-0.2067014905947539
RUS,Health Care,Air Emission,EUR Impact per EUR Output,-0.004139161710066105,-0.007945548057627504,-0.006780913780830008,-0.008040098026103119,-0.026905721574626736
RUS,Infrastructure,Air Emission,EUR Impact per EUR Output,-0.05229725234569702,-0.017592413851982385,-0.009377014289325742,-0.011968703194452333,-0.09123538368145748
RUS,Renewable Resources & Alternative Energy,Air Emission,EUR Impact per EUR Output,-0.022371173768690408,-0.032307743728132506,-0.013133902703310019,-0.014169041875437438,-0.08198186207557037
RUS,Resource Transformation,Air Emission,EUR Impact per EUR Output,-0.01936403003610192,-0.021777431152080643,-0.012051413599774173,-0.017109567125602604,-0.07030244191355935
RUS,Services,Air Emission,EUR Impact per EUR Output,-0.005285705359068131,-0.008873117828859427,-0.005298058767595887,-0.00700535560558341,-0.026462237561106855
RUS,Technology & Communications,Air Emission,EUR Impact per EUR Output,-0.002739444029870745,-0.012617020902052611,-0.008645281214177495,-0.011886955805682706,-0.03588870195178356
RUS,Transportation,Air Emission,EUR Impact per EUR Output,-0.029486724291498217,-0.015349761439169121,-0.011056564621531506,-0.018052143875316576,-0.07394519422751542
SAU,Consumer Goods,Air Emission,EUR Impact per EUR Output,-0.005227620861528311,-0.019269613615154987,-0.006875091040811653,-0.006153260155950222,-0.037525585673445175
SAU,Extractives & Minerals Processing,Air Emission,EUR Impact per EUR Output,-0.1980955647621727,-0.0407272971786014,-0.009462094804619878,-0.008368713762012314,-0.2566536705074063
SAU,Financials,Air Emission,EUR Impact per EUR Output,-0.004306461622469086,-0.004742250535159862,-0.0021256315710192577,-0.001843838836346737,-0.013018182564994943
SAU,Food & Beverage,Air Emission,EUR Impact per EUR Output,-0.08362005322711712,-0.06009780430013764,-0.018480753777799595,-0.013368708234683528,-0.17556731953973786
SAU,Health Care,Air Emission,EUR Impact per EUR Output,-0.0056292446185999415,-0.022832992301280906,-0.008086423062526937,-0.006108231231400766,-0.04265689121380854
SAU,Infrastructure,Air Emission,EUR Impact per EUR Output,-0.11352436814135412,-0.027348402283954125,-0.00858916986267434,-0.006360914907300011,-0.1558228551952826
SAU,Renewable Resources & Alternative Energy,Air Emission,EUR Impact per EUR Output,-0.01141106640832333,-0.0462694285030889,-0.012272726880776123,-0.011288534854149634,-0.08124175664633798
SAU,Resource Transformation,Air Emission,EUR Impact per EUR Output,-0.022006260336077634,-0.038024880207363554,-0.012381028824630613,-0.012709217810358072,-0.08512138717842987
SAU,Services,Air Emission,EUR Impact per EUR Output,-0.000928134913597187,-0.015286974100914374,-0.007358556132897289,-0.005272104441385766,-0.028845769588794614
SAU,Technology & Communications,Air Emission,EUR Impact per EUR Output,-0.0017230535358474617,-0.010763686868366795,-0.005572845283900911,-0.006020513061915959,-0.02408009875003113
SAU,Transportation,Air Emission,EUR Impact per EUR Output,-0.16446825752338612,-0.01804689049785475,-0.009520163734154412,-0.009945243679268608,-0.20198055543466392
TUR,Consumer Goods,Air Emission,EUR Impact per EUR Output,-0.0006048313216700654,-0.006231820764291615,-0.00670215421024829,-0.013660405417149439,-0.027199211713359404
TUR,Extractives & Minerals Processing,Air Emission,EUR Impact per EUR Output,-0.019110931638665396,-0.019885513019528313,-0.012160415235903601,-0.01542721259388147,-0.06658407248797879
TUR,Financials,Air Emission,EUR Impact per EUR Output,-0.0008064339298988518,-0.0015012495069736268,-0.00211566316948724,-0.00407990703989861,-0.008503253646258329
TUR,Food & Beverage,Air Emission,EUR Impact per EUR Output,-0.03250884224549755,-0.028578419586356082,-0.012194034544567783,-0.01197094896039847,-0.0852522453368199
TUR,Health Care,Air Emission,EUR Impact per EUR Output,-0.0010847523244480396,-0.005214433677273192,-0.005368314539672001,-0.009429442215502886,-0.02109694275689612
TUR,Infrastructure,Air Emission,EUR Impact per EUR Output,-0.018429939033981182,-0.015353589163618155,-0.00895953356492213,-0.012430250015455231,-0.0551733117779767
TUR,Renewable Resources & Alternative Energy,Air Emission,EUR Impact per EUR Output,-0.0011645243126802024,-0.009360667266241973,-0.008825996158303503,-0.015039526715622111,-0.03439071445284779
TUR,Resource Transformation,Air Emission,EUR Impact per EUR Output,-0.003650194364096614,-0.016571145318800575,-0.012681663017524214,-0.01954227538812902,-0.052445278088550415
TUR,Services,Air Emission,EUR Impact per EUR Output,-0.003359161686119077,-0.005151108110027822,-0.005417023123476641,-0.007629461770031416,-0.02155675468965496
TUR,Technology & Communications,Air Emission,EUR Impact per EUR Output,-0.0008385194474438657,-0.003335658231204429,-0.005518845876019044,-0.015058730848276731,-0.024751754402944068
